iter	Logloss
0	0.6903872313
1	0.6872456868
2	0.6843640363
3	0.6812732131
4	0.6781385916
5	0.675804562
6	0.6734708857
7	0.6701104906
8	0.6675166377
9	0.6642494908
10	0.6618958932
11	0.6590742888
12	0.6571656686
13	0.6544787089
14	0.6518328631
15	0.6491470337
16	0.6470175143
17	0.6446345294
18	0.6423394945
19	0.6399262746
20	0.6371914899
21	0.6346797237
22	0.6320080227
23	0.6298333627
24	0.6274755266
25	0.625230436
26	0.6226870219
27	0.62058032
28	0.618505266
29	0.6163025609
30	0.6137411329
31	0.6112204658
32	0.608784499
33	0.6064122518
34	0.6041653951
35	0.6020531831
36	0.5996780396
37	0.5971371686
38	0.5948209409
39	0.5929862835
40	0.5907058009
41	0.5885731732
42	0.5863103513
43	0.5841548355
44	0.5822053839
45	0.5801188857
46	0.5782301161
47	0.5761870985
48	0.5741653796
49	0.57213204
50	0.5704785453
51	0.5683359217
52	0.566259702
53	0.56460649
54	0.5625702893
55	0.5611660216
56	0.559791353
57	0.5581024664
58	0.5562034536
59	0.5547899317
60	0.5530482751
61	0.5510181851
62	0.5495900048
63	0.5478305463
64	0.5460294088
65	0.5441618319
66	0.5427720105
67	0.5409560733
68	0.5394297353
69	0.5377652204
70	0.5361447511
71	0.5346436677
72	0.5329437962
73	0.5314630226
74	0.5300089518
75	0.5287305337
76	0.5270052309
77	0.5253240091
78	0.5238862214
79	0.5223541966
80	0.5206835711
81	0.5192614308
82	0.5181527314
83	0.5166866514
84	0.5153076384
85	0.5138533557
86	0.5124728945
87	0.5111207962
88	0.5101002587
89	0.5088550073
90	0.5074895223
91	0.5061966225
92	0.5048028451
93	0.5035607373
94	0.5025775344
95	0.5013293514
96	0.5001280043
97	0.4989090672
98	0.4975504699
99	0.4961219364
