iter	Passed	Remaining
0	1	132
1	2	122
2	3	112
3	4	109
4	5	109
5	6	105
6	7	102
7	9	108
8	10	105
9	11	103
10	12	100
11	13	96
12	14	93
13	14	91
14	15	89
15	17	90
16	18	88
17	18	86
18	19	83
19	20	81
20	21	79
21	21	77
22	22	75
23	23	74
24	24	72
25	24	71
26	25	69
27	26	67
28	27	66
29	27	64
30	28	62
31	28	61
32	29	59
33	30	58
34	30	57
35	31	56
36	32	54
37	32	53
38	33	51
39	33	50
40	34	49
41	34	47
42	35	46
43	35	45
44	36	44
45	36	43
46	37	42
47	37	40
48	38	39
49	38	38
50	39	37
51	39	36
52	40	35
53	40	34
54	41	33
55	41	32
56	41	31
57	42	30
58	42	29
59	43	28
60	43	27
61	44	27
62	44	26
63	44	25
64	45	24
65	45	23
66	46	22
67	46	21
68	47	21
69	47	20
70	48	19
71	48	18
72	48	18
73	49	17
74	49	16
75	50	15
76	50	15
77	51	14
78	51	13
79	52	13
80	52	12
81	53	11
82	53	11
83	54	10
84	54	9
85	55	8
86	55	8
87	56	7
88	56	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
